model,point_idx,eps,delta,result,pred_class,ambiguous,solve_time_s,total_time_s,counterexample
20251030_112344_small_net_weights.json,0,0.02,0.0,unsat,1,0,0.0013849735260009766,0.005081892013549805,
20251030_112344_small_net_weights.json,0,0.02,0.1,unsat,1,0,0.001306295394897461,0.003258943557739258,
20251030_112344_small_net_weights.json,0,0.05,0.0,sat,1,0,0.0015230178833007812,0.003536224365234375,"[1.9804501686158125, 0.8376898294318155]"
20251030_112344_small_net_weights.json,0,0.05,0.1,sat,1,0,0.0013079643249511719,0.003223896026611328,"[1.9804501686158125, 0.7984966075866662]"
20251030_112344_small_net_weights.json,0,0.1,0.0,sat,1,0,0.0011959075927734375,0.003000974655151367,"[1.9304501686158124, 0.8152871095408085]"
20251030_112344_small_net_weights.json,0,0.1,0.1,sat,1,0,0.0014650821685791016,0.0036017894744873047,"[1.9304501686158124, 0.7760938876956592]"
20251030_112344_small_net_weights.json,0,0.2,0.0,sat,1,1,0.0029320716857910156,0.004846096038818359,"[1.8304501686158126, 0.9168271650021287]"
20251030_112344_small_net_weights.json,0,0.2,0.1,sat,1,1,0.0016171932220458984,0.0037539005279541016,"[1.8304501686158126, 0.9168271650021287]"
20251030_112344_small_net_weights.json,1,0.02,0.0,unsat,1,0,0.000972747802734375,0.0026700496673583984,
20251030_112344_small_net_weights.json,1,0.02,0.1,unsat,1,0,0.0011591911315917969,0.002956867218017578,
20251030_112344_small_net_weights.json,1,0.05,0.0,unsat,1,0,0.0010292530059814453,0.002998828887939453,
20251030_112344_small_net_weights.json,1,0.05,0.1,sat,1,0,0.0014650821685791016,0.003386974334716797,"[-0.15205320542445283, -0.1569809075183597]"
20251030_112344_small_net_weights.json,1,0.1,0.0,sat,1,0,0.0017709732055664062,0.0052678585052490234,"[-0.12793386141750293, -0.1069809075183597]"
20251030_112344_small_net_weights.json,1,0.1,0.1,sat,1,0,0.0012459754943847656,0.003462076187133789,"[-0.05423416975431758, -0.1069809075183597]"
20251030_112344_small_net_weights.json,1,0.2,0.0,sat,1,0,0.0012080669403076172,0.0039691925048828125,"[0.0, -0.006980907518359697]"
20251030_112344_small_net_weights.json,1,0.2,0.1,sat,1,0,0.0012249946594238281,0.003414154052734375,"[0.0, -0.006980907518359697]"
20251030_112344_small_net_weights.json,2,0.02,0.0,unsat,1,0,0.0012171268463134766,0.003518342971801758,
20251030_112344_small_net_weights.json,2,0.02,0.1,unsat,1,0,0.0013251304626464844,0.0030248165130615234,
20251030_112344_small_net_weights.json,2,0.05,0.0,unsat,1,0,0.0011398792266845703,0.0030317306518554688,
20251030_112344_small_net_weights.json,2,0.05,0.1,unsat,1,0,0.0009441375732421875,0.0027327537536621094,
20251030_112344_small_net_weights.json,2,0.1,0.0,unsat,1,0,0.0008990764617919922,0.0025141239166259766,
20251030_112344_small_net_weights.json,2,0.1,0.1,sat,1,0,0.0011179447174072266,0.0029039382934570312,"[0.29192062173459865, 0.041943518257291625]"
20251030_112344_small_net_weights.json,2,0.2,0.0,sat,1,1,0.0014019012451171875,0.0033850669860839844,"[0.19192062173459867, 0.036331300320427015]"
20251030_112344_small_net_weights.json,2,0.2,0.1,sat,1,1,0.003022909164428711,0.00489497184753418,"[0.19192062173459867, -0.0028619215247222777]"
20251030_112344_small_net_weights.json,3,0.02,0.0,unsat,0,0,0.0010259151458740234,0.0027670860290527344,
20251030_112344_small_net_weights.json,3,0.02,0.1,unsat,0,0,0.001119852066040039,0.002870798110961914,
20251030_112344_small_net_weights.json,3,0.05,0.0,unsat,0,0,0.0011391639709472656,0.002966642379760742,
20251030_112344_small_net_weights.json,3,0.05,0.1,unsat,0,0,0.0010581016540527344,0.002790212631225586,
20251030_112344_small_net_weights.json,3,0.1,0.0,unsat,0,0,0.0009739398956298828,0.0026209354400634766,
20251030_112344_small_net_weights.json,3,0.1,0.1,sat,0,0,0.0012621879577636719,0.003147125244140625,"[0.19722396391506752, 0.07790070795268042]"
